timestamp,load_avg,mem_used_mb,mem_total_mb,disk_pct
2026-05-01T22:07:15Z,1.02,212,512,18
2026-05-01T22:17:17Z,1.37,214,512,18
2026-05-01T22:27:18Z,1.16,213,512,18
2026-05-01T22:37:19Z,1.52,212,512,18
2026-05-01T22:47:21Z,1.42,212,512,18
2026-05-01T22:57:22Z,0.80,213,512,18
2026-05-01T23:07:23Z,0.88,213,512,18
2026-05-01T23:17:25Z,0.98,213,512,18
2026-05-01T23:27:26Z,0.73,213,512,18
2026-05-01T23:37:27Z,0.72,213,512,18
2026-05-01T23:47:29Z,1.21,213,512,18
2026-05-01T23:57:30Z,0.71,213,512,18
2026-05-02T00:07:31Z,1.02,212,512,18
2026-05-02T00:17:33Z,1.01,212,512,18
2026-05-02T00:27:34Z,1.10,213,512,18
2026-05-02T00:37:35Z,0.98,213,512,18
2026-05-02T00:47:37Z,1.73,214,512,18
2026-05-02T00:57:38Z,0.79,213,512,18
2026-05-02T01:07:39Z,2.64,214,512,18
2026-05-02T01:17:41Z,1.30,214,512,18
2026-05-02T01:27:42Z,1.55,213,512,18
2026-05-02T01:37:43Z,1.14,213,512,18
2026-05-02T01:47:44Z,0.89,213,512,18
2026-05-02T01:57:46Z,1.58,213,512,18
2026-05-02T02:07:47Z,1.41,214,512,18
2026-05-02T02:17:48Z,0.86,213,512,18
2026-05-02T02:27:50Z,2.06,213,512,18
2026-05-02T02:37:51Z,1.12,213,512,18
2026-05-02T02:47:52Z,1.50,213,512,18
2026-05-02T02:57:54Z,1.05,213,512,18
2026-05-02T03:07:55Z,1.05,214,512,18
2026-05-02T03:17:56Z,0.82,214,512,18
2026-05-02T03:27:58Z,1.00,213,512,18
2026-05-02T03:37:59Z,3.72,213,512,18
2026-05-02T03:48:00Z,0.85,212,512,18
2026-05-02T03:58:02Z,0.61,212,512,18
2026-05-02T04:08:03Z,1.63,213,512,18
2026-05-02T04:18:05Z,0.81,213,512,18
2026-05-02T04:28:06Z,0.87,214,512,18
2026-05-02T04:38:08Z,0.69,215,512,18
2026-05-02T04:48:09Z,1.78,214,512,18
2026-05-02T04:58:11Z,0.77,212,512,18
2026-05-02T05:08:12Z,0.70,213,512,18
2026-05-02T05:18:13Z,1.52,212,512,18
2026-05-02T05:28:15Z,0.42,214,512,18
2026-05-02T05:38:16Z,1.19,212,512,18
2026-05-02T05:48:17Z,1.86,212,512,18
2026-05-02T05:58:19Z,0.77,212,512,18
2026-05-02T06:08:20Z,1.27,213,512,18
2026-05-02T06:18:22Z,1.13,213,512,18
2026-05-02T06:28:23Z,1.42,209,512,18
2026-05-02T06:38:24Z,0.92,205,512,18
2026-05-02T06:48:25Z,0.88,204,512,18
2026-05-02T06:58:27Z,2.13,204,512,18
2026-05-02T07:08:28Z,1.48,204,512,18
2026-05-02T07:18:29Z,1.04,203,512,18
2026-05-02T07:28:31Z,1.03,205,512,18
2026-05-02T07:38:32Z,0.80,204,512,18
2026-05-02T07:48:33Z,1.58,204,512,18
2026-05-02T07:58:35Z,1.59,205,512,18
2026-05-02T08:08:36Z,1.69,204,512,18
2026-05-02T08:18:37Z,1.38,204,512,18
2026-05-02T08:28:39Z,1.98,205,512,18
2026-05-02T08:38:40Z,1.11,205,512,18
2026-05-02T08:48:41Z,1.42,204,512,18
2026-05-02T08:58:43Z,1.88,204,512,18
2026-05-02T09:08:44Z,1.08,205,512,18
2026-05-02T09:18:45Z,1.29,204,512,18
2026-05-02T09:28:46Z,1.68,208,512,18
2026-05-02T09:38:48Z,1.39,208,512,18
2026-05-02T09:48:49Z,1.57,207,512,18
2026-05-02T09:58:50Z,1.82,208,512,18
2026-05-02T10:08:52Z,2.60,209,512,18
2026-05-02T10:18:53Z,0.92,208,512,18
2026-05-02T10:28:54Z,0.68,208,512,18
2026-05-02T10:38:56Z,1.87,209,512,18
2026-05-02T10:48:57Z,0.35,208,512,18
2026-05-02T10:58:58Z,0.94,208,512,18
2026-05-02T11:09:00Z,1.38,208,512,18
2026-05-02T11:19:01Z,0.49,208,512,18
2026-05-02T11:29:02Z,1.41,209,512,18
2026-05-02T11:39:04Z,1.91,209,512,18
2026-05-02T11:49:05Z,0.96,210,512,18
2026-05-02T11:59:06Z,1.27,209,512,18
2026-05-02T12:09:08Z,1.11,209,512,18
2026-05-02T12:19:09Z,2.10,209,512,18
2026-05-02T12:29:10Z,1.02,208,512,18
2026-05-02T12:39:12Z,1.68,209,512,18
2026-05-02T12:49:13Z,1.00,207,512,18
2026-05-02T12:59:14Z,1.55,208,512,18
2026-05-02T13:09:16Z,1.64,207,512,18
2026-05-02T13:19:17Z,0.63,209,512,18
2026-05-02T13:29:18Z,1.49,208,512,18
2026-05-02T13:39:20Z,2.98,208,512,18
2026-05-02T13:49:21Z,0.68,207,512,18
2026-05-02T13:59:22Z,1.41,207,512,18
2026-05-02T14:09:24Z,1.43,208,512,18
2026-05-02T14:19:25Z,1.53,208,512,18
2026-05-02T14:29:26Z,1.11,209,512,18
